,0,1,2,3,4,5,6,7,8,9,10
0,Agatha,Santos,37,929379.68,Debito,2005-03-15 09:47:00,150380,Agatha Santos,1978-04-08 14:59:00,6,1978-03-08 14:59:00
1,Agatha,Cunha,89,830540.02,Credito,2020-06-24 12:48:00,262143,Agatha Cunha,1992-08-15 12:17:00,3,1992-07-15 12:17:00
2,Agatha,Souza,37,867638.43,Debito,2005-04-18 10:36:00,983360,Agatha Souza,2008-01-13 09:56:00,4,2007-12-13 09:56:00
3,Agatha,Souza,81,903065.25,Debito,2021-05-25 11:18:00,878863,Agatha Souza,2009-11-23 09:05:00,9,2009-10-23 09:05:00
4,Agatha,Moraes,96,803485.45,Debito,2015-02-10 13:56:00,528898,Agatha Moraes,2017-06-25 13:31:00,2,2017-05-25 13:31:00
5,Agatha,Moraes,96,741961.65,Credito,2022-06-23 14:23:00,624560,Agatha Moraes,1998-07-12 13:15:00,2,1998-06-12 13:15:00
6,Agatha,Barros,78,194502.13,Debito,2009-08-25 12:39:00,829712,Agatha Barros,1986-09-10 12:34:00,9,1986-08-10 12:34:00
7,Agatha,Martins,28,888465.39,Debito,2005-07-29 12:02:00,305427,Agatha Martins,1986-03-08 13:37:00,9,1986-02-08 13:37:00
8,Agatha,Souza,37,853299.35,Credito,2018-09-30 11:37:00,128327,Agatha Souza,1980-06-25 14:05:00,6,1980-05-25 14:05:00
9,Agatha,Martins,28,878476.34,Debito,2012-04-04 10:09:00,956643,Agatha Martins,1990-07-16 15:33:00,4,1990-06-16 15:33:00
10,Agatha,Correia,32,661418.32,Credito,2008-01-12 11:21:00,525331,Agatha Correia,2021-02-14 12:21:00,5,2021-01-14 12:21:00
11,Agatha,Porto,99,374911.80,Credito,2006-10-28 09:55:00,179933,Agatha Porto,1980-09-10 09:05:00,7,1980-08-10 09:05:00
12,Agatha,Porto,99,460243.59,Credito,2009-06-15 13:49:00,978932,Agatha Porto,1982-01-13 15:40:00,4,1981-12-13 15:40:00
13,Agatha,Fogaça,88,535307.45,Credito,2014-05-16 14:04:00,518418,Agatha Fogaça,1999-11-03 14:24:00,9,1999-10-03 14:24:00
14,Agatha,Fogaça,88,181597.13,Credito,2012-01-20 11:05:00,389192,Agatha Fogaça,2011-05-08 15:29:00,2,2011-04-08 15:29:00
15,Agatha,Aragão,56,379347.40,Debito,2015-03-29 09:23:00,758571,Agatha Aragão,1979-02-27 12:49:00,6,1979-01-27 12:49:00
16,Agatha,Freitas,96,159776.76,Credito,2014-03-25 16:56:00,550847,Agatha Freitas,2019-01-27 13:36:00,4,2018-12-27 13:36:00
17,Agatha,Santos,96,537364.30,Credito,2016-06-13 13:03:00,558723,Agatha Santos,1985-08-15 16:31:00,2,1985-07-15 16:31:00
18,Agatha,Nunes,35,232145.22,Debito,2009-08-02 15:52:00,526493,Agatha Nunes,2006-08-03 09:17:00,2,2006-07-03 09:17:00
19,Agatha,Barros,78,368560.40,Credito,2007-09-13 16:16:00,418574,Agatha Barros,1983-01-27 09:20:00,2,1982-12-27 09:20:00
20,Agatha,Martins,48,933065.58,Debito,2013-01-23 11:11:00,132608,Agatha Martins,1996-01-02 14:26:00,7,1995-12-02 14:26:00
21,Agatha,Aragão,56,704277.14,Credito,2012-08-20 13:11:00,727424,Agatha Aragão,2017-10-16 16:18:00,8,2017-09-16 16:18:00
22,Agatha,Fogaça,50,836365.07,Credito,2008-08-24 09:19:00,217098,Agatha Fogaça,2013-09-08 15:34:00,1,2013-08-08 15:34:00
23,Agatha,Azevedo,82,636443.42,Credito,2007-06-26 12:45:00,408226,Agatha Azevedo,1966-06-04 11:06:00,2,1966-05-04 11:06:00
24,Agatha,Azevedo,82,951303.73,Debito,2007-08-12 16:55:00,693917,Agatha Azevedo,1989-10-21 12:03:00,8,1989-09-21 12:03:00
25,Agatha,Moura,42,627065.73,Credito,2010-11-22 13:14:00,321580,Agatha Moura,1991-09-19 10:56:00,2,1991-08-19 10:56:00
26,Agatha,Silva,67,46128.97,Debito,2005-06-01 13:31:00,387233,Agatha Silva,1960-05-01 12:01:00,3,1960-04-01 12:01:00
27,Agatha,Silva,67,683328.10,Debito,2006-07-24 10:22:00,390576,Agatha Silva,1993-11-02 12:58:00,8,1993-10-02 12:58:00
28,Agatha,Santos,37,536123.08,Debito,2006-04-03 09:57:00,704494,Agatha Santos,2008-12-26 12:34:00,5,2008-11-26 12:34:00
29,Agatha,Souza,81,976594.64,Debito,2019-08-22 15:53:00,450240,Agatha Souza,1953-04-17 14:46:00,5,1953-03-17 14:46:00
30,Agatha,Nogueira,78,159044.00,Credito,2011-04-02 13:39:00,226634,Agatha Nogueira,1959-05-10 14:32:00,1,1959-04-10 14:32:00
31,Agatha,Gonçalves,38,873390.36,Credito,2012-11-24 13:31:00,308424,Agatha Gonçalves,1976-03-08 11:45:00,3,1976-02-08 11:45:00
32,Alana,Castro,51,440319.12,Credito,2021-06-14 14:23:00,217747,Alana Castro,1962-09-23 10:27:00,9,1962-08-23 10:27:00
33,Alana,Lopes,61,354869.85,Credito,2021-02-25 14:07:00,38809,Alana Lopes,1981-01-16 13:32:00,1,1980-12-16 13:32:00
34,Alana,Lopes,61,346752.86,Credito,2016-10-08 10:07:00,535849,Alana Lopes,1973-08-27 14:50:00,8,1973-07-27 14:50:00
35,Alana,Ramos,67,108945.96,Credito,2022-05-15 10:10:00,357637,Alana Ramos,1993-09-13 13:48:00,5,1993-08-13 13:48:00
36,Alana,Viana,24,782746.72,Credito,2005-02-07 11:29:00,657471,Alana Viana,1950-04-01 09:50:00,9,1950-03-01 09:50:00
37,Alana,Farias,80,804191.42,Debito,2012-05-11 13:36:00,308207,Alana Farias,1983-03-25 09:33:00,7,1983-02-25 09:33:00
38,Alana,Viana,24,576575.03,Credito,2015-02-24 14:09:00,731176,Alana Viana,1970-05-08 12:41:00,2,1970-04-08 12:41:00
39,Alana,Moraes,42,530710.56,Debito,2022-09-20 09:00:00,786079,Alana Moraes,1986-04-28 11:50:00,4,1986-03-28 11:50:00
